"","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Promoted"
"231",31,62,244,206,23,52,10,0,3,27,0,1,34,26,0.252,0.358,0.345,0.703,71,6,1,1,2,2,1
"232",25,97,438,394,65,116,19,6,6,42,26,7,29,60,0.294,0.345,0.419,0.764,165,3,3,9,3,0,1
"233",23,30,126,118,16,37,12,0,4,17,0,0,4,22,0.314,0.341,0.517,0.858,61,1,2,0,2,1,1
"234",28,38,152,132,20,33,7,1,3,12,8,3,17,24,0.25,0.336,0.386,0.722,51,3,1,0,2,0,1
"235",26,22,84,74,6,15,4,0,2,5,0,0,8,21,0.203,0.281,0.338,0.618,25,1,0,2,0,0,1
"236",23,19,76,72,12,22,5,0,2,11,0,0,4,18,0.306,0.342,0.458,0.8,33,3,0,0,0,0,1
"237",27,65,296,256,46,71,18,3,6,31,5,5,30,58,0.277,0.365,0.441,0.807,113,6,6,3,1,1,1
"238",25,69,304,265,52,86,14,5,9,32,9,0,31,45,0.325,0.393,0.517,0.91,137,6,1,4,3,0,0
"239",27,86,359,326,54,91,17,0,14,60,0,1,28,72,0.279,0.332,0.46,0.792,150,11,0,0,5,1,0
"240",27,67,261,234,34,66,22,0,6,33,1,0,23,58,0.282,0.35,0.453,0.803,106,3,2,1,1,1,1
"241",27,101,434,375,56,99,19,1,19,62,0,3,44,81,0.264,0.35,0.472,0.822,177,12,9,0,6,2,1
"242",28,46,166,145,18,34,5,0,5,16,0,0,20,28,0.235,0.331,0.372,0.704,54,7,1,0,0,0,1
"243",25,39,138,127,13,25,4,0,7,21,0,0,7,34,0.197,0.239,0.394,0.633,50,2,1,0,3,0,0
"244",29,79,292,245,27,55,12,0,7,32,0,0,33,71,0.225,0.324,0.359,0.683,88,5,5,5,4,0,1
"245",27,111,422,377,51,98,24,0,10,45,1,2,29,75,0.26,0.32,0.403,0.723,152,14,6,6,4,0,1
"246",25,135,582,503,82,139,34,3,16,62,9,4,71,94,0.276,0.368,0.451,0.82,227,8,4,1,3,3,1
"247",32,60,265,234,38,68,18,1,5,41,9,3,22,33,0.291,0.351,0.44,0.791,103,3,3,0,6,5,1
"248",32,21,85,72,12,18,3,0,1,13,0,0,10,18,0.25,0.341,0.333,0.675,24,4,1,0,2,0,0
"249",27,39,187,159,18,43,8,0,0,11,19,3,22,46,0.27,0.368,0.321,0.688,51,1,3,2,1,0,1
"250",22,36,139,130,11,33,4,0,0,6,0,0,7,25,0.254,0.295,0.285,0.58,37,5,1,0,1,0,1
"251",25,102,369,348,43,78,16,0,12,35,17,7,17,74,0.224,0.262,0.374,0.636,130,7,1,3,0,0,0
"252",29,15,61,55,9,18,3,0,0,9,0,0,5,9,0.327,0.393,0.382,0.775,21,0,1,0,0,0,0
"253",25,111,388,356,33,90,12,0,0,32,12,7,27,64,0.253,0.302,0.287,0.589,102,13,0,1,4,0,0
"254",29,25,79,65,8,11,2,0,2,8,2,0,7,19,0.169,0.257,0.292,0.549,19,4,1,5,1,0,0
"255",27,47,194,167,24,47,11,1,7,25,4,0,22,43,0.281,0.376,0.485,0.861,81,1,4,0,1,2,1
"256",31,63,265,236,49,72,18,1,24,65,5,0,24,73,0.305,0.374,0.695,1.069,164,5,3,0,2,2,1
"257",29,23,80,79,6,15,4,0,1,5,0,0,1,14,0.19,0.2,0.279,0.479,22,3,0,0,0,0,0
"258",25,82,340,292,43,83,20,6,6,37,11,6,33,76,0.284,0.379,0.456,0.834,133,9,12,2,1,0,0
"259",29,85,337,295,50,79,18,0,12,38,9,1,29,64,0.268,0.353,0.451,0.804,133,13,11,0,2,1,0
"260",27,131,543,476,72,143,14,5,1,38,22,12,54,65,0.3,0.372,0.357,0.729,170,9,3,5,5,2,0
"261",24,75,282,250,18,60,12,1,2,25,2,0,22,43,0.24,0.312,0.32,0.632,80,7,5,3,2,0,1
"262",26,47,141,134,9,21,7,1,1,6,2,2,6,45,0.157,0.193,0.246,0.439,33,2,0,1,0,0,0
"263",32,20,85,73,8,17,2,0,1,12,4,1,12,17,0.233,0.341,0.301,0.643,22,1,0,0,0,0,1
"264",35,65,271,233,33,63,17,0,15,47,0,0,29,59,0.27,0.365,0.537,0.902,125,5,7,0,2,2,0
"265",29,64,267,221,23,54,6,2,2,23,13,3,41,58,0.244,0.365,0.317,0.681,70,2,2,1,2,0,0
"266",31,15,66,60,8,15,2,0,4,12,1,0,5,15,0.25,0.318,0.483,0.802,29,7,1,0,0,0,1
"267",31,23,89,84,7,26,7,1,0,9,0,1,2,17,0.31,0.315,0.417,0.731,35,0,0,0,3,0,1
"268",26,88,376,334,41,65,17,2,13,52,0,0,37,108,0.195,0.279,0.374,0.654,125,10,3,0,2,1,0
"269",26,60,255,216,30,57,15,2,5,24,10,5,31,58,0.264,0.364,0.421,0.785,91,4,4,2,2,0,1
"270",29,96,369,293,44,62,6,5,1,24,16,4,68,68,0.212,0.363,0.277,0.64,81,10,3,3,2,4,1
"271",28,96,358,313,41,82,18,1,9,38,0,4,43,79,0.262,0.355,0.412,0.767,129,7,2,0,0,4,1
"272",27,69,262,226,26,52,14,1,7,24,1,2,28,65,0.23,0.321,0.394,0.714,89,2,4,0,4,0,1
"273",31,40,161,147,9,44,7,0,0,16,4,2,7,29,0.299,0.346,0.347,0.693,51,4,4,2,1,0,0
"274",22,48,202,185,25,45,10,3,6,23,0,2,12,31,0.243,0.288,0.427,0.715,79,1,0,4,1,2,1
"275",34,74,279,250,22,56,13,0,3,20,4,3,23,52,0.224,0.295,0.312,0.607,78,3,3,1,2,3,1
"276",29,49,194,169,27,40,12,1,4,11,0,1,20,26,0.237,0.332,0.391,0.722,66,5,4,1,0,0,1
"277",25,27,104,91,16,17,5,1,3,9,7,1,11,31,0.187,0.282,0.363,0.644,33,2,1,1,0,1,0
"278",36,89,313,243,20,57,8,0,7,29,2,1,57,46,0.235,0.386,0.354,0.74,86,6,5,5,3,3,1
"279",28,62,240,207,24,66,12,0,5,32,0,0,23,24,0.319,0.382,0.449,0.832,93,6,2,2,6,2,1
"280",26,74,319,284,34,62,13,2,6,20,17,3,22,77,0.218,0.287,0.342,0.628,97,3,6,5,2,0,1
"281",27,32,75,69,7,14,4,0,2,8,0,1,5,19,0.203,0.253,0.348,0.601,24,0,0,0,1,0,0
"282",27,116,428,392,46,118,25,1,4,35,5,5,23,63,0.301,0.348,0.401,0.749,157,5,6,6,1,0,0
"283",26,92,398,357,48,79,19,0,15,45,4,2,33,103,0.221,0.293,0.401,0.694,143,13,4,2,2,0,1
"284",25,91,342,310,38,68,12,1,9,45,8,1,25,81,0.219,0.278,0.352,0.629,109,2,2,0,5,0,0
"285",27,92,326,292,32,68,14,1,8,26,1,3,31,64,0.233,0.31,0.37,0.68,108,15,2,0,1,2,0
"286",22,51,221,213,23,52,10,0,3,20,5,4,6,35,0.244,0.264,0.333,0.597,71,4,0,1,1,0,1
"287",23,44,144,129,9,24,3,0,1,7,0,0,7,16,0.186,0.226,0.233,0.459,30,3,0,7,1,0,1
"288",23,122,512,465,55,114,30,0,14,59,2,1,41,116,0.245,0.313,0.4,0.713,186,18,5,0,1,3,1
"289",26,85,316,291,30,65,14,2,6,29,2,3,15,63,0.223,0.268,0.347,0.615,101,9,4,2,4,0,1
"290",27,103,453,429,60,138,36,5,9,73,7,2,14,69,0.322,0.347,0.492,0.839,211,7,4,4,2,2,1
"291",30,60,247,222,41,54,7,1,3,8,7,5,21,24,0.243,0.314,0.324,0.639,72,0,2,2,0,0,1
"292",30,72,240,205,23,37,6,0,4,22,0,0,17,39,0.181,0.246,0.268,0.514,55,6,2,12,4,0,1
"293",27,15,71,63,12,21,3,3,0,5,7,1,4,5,0.333,0.373,0.476,0.849,30,3,0,4,0,0,1
"294",30,22,66,60,10,17,2,0,3,11,0,0,5,21,0.283,0.349,0.467,0.815,28,1,1,0,0,0,0
"295",29,88,406,365,69,120,22,3,7,50,21,6,28,41,0.329,0.375,0.463,0.838,169,11,0,11,2,1,1
"296",24,89,418,362,67,117,20,2,10,71,7,1,46,40,0.323,0.404,0.472,0.877,171,12,6,0,4,2,1
"297",30,56,228,210,19,55,15,2,0,31,1,1,13,40,0.262,0.301,0.352,0.653,74,4,0,2,3,1,1
"298",26,130,544,491,69,135,19,11,10,69,26,4,25,65,0.275,0.317,0.42,0.737,206,12,8,14,6,5,1
"299",30,38,156,132,25,38,4,1,4,17,2,1,21,31,0.288,0.385,0.424,0.809,56,2,1,0,2,1,1
"300",26,29,61,58,11,15,1,0,2,7,1,0,2,9,0.259,0.279,0.379,0.658,22,3,0,0,1,0,0
"301",28,35,135,115,18,34,8,0,3,22,2,0,14,24,0.296,0.381,0.444,0.824,51,2,3,1,2,0,1
"302",21,99,439,388,66,118,15,5,24,79,2,2,45,98,0.304,0.378,0.554,0.932,215,7,3,0,3,2,1
"303",22,17,70,60,7,18,3,0,1,9,1,0,8,7,0.3,0.391,0.4,0.791,24,3,1,1,0,0,1
"304",27,110,445,387,59,116,16,0,17,77,0,0,47,82,0.3,0.374,0.473,0.847,183,19,3,1,7,1,0
"305",27,131,570,487,70,142,37,1,13,67,1,0,79,65,0.292,0.393,0.452,0.845,220,17,3,0,1,4,1
"306",24,116,488,422,73,113,12,3,2,28,23,9,50,84,0.268,0.344,0.325,0.668,137,8,2,8,6,2,1
"307",29,115,439,384,64,115,17,3,17,66,15,4,44,92,0.3,0.374,0.492,0.866,189,3,4,3,4,2,0
"308",34,35,85,75,10,15,3,0,0,5,0,1,9,18,0.2,0.286,0.24,0.526,18,3,0,1,0,0,0
"309",25,73,278,249,33,79,13,1,5,19,11,5,22,48,0.317,0.374,0.438,0.811,109,3,1,5,1,1,1
"310",28,104,388,359,43,110,22,1,8,37,2,3,22,49,0.306,0.346,0.44,0.787,158,7,1,4,2,1,1
"311",31,37,113,101,9,25,6,1,3,9,0,0,10,32,0.248,0.315,0.416,0.731,42,4,0,2,0,0,0
"312",32,21,85,74,17,30,5,1,10,28,0,1,11,15,0.405,0.482,0.905,1.388,67,0,0,0,0,2,1
"313",24,32,140,113,23,35,12,0,4,24,1,0,20,27,0.31,0.414,0.522,0.936,59,4,3,0,4,1,1
"314",26,131,528,483,63,138,21,1,7,31,35,13,27,56,0.286,0.329,0.377,0.706,182,9,6,8,4,0,1
"315",35,34,109,98,15,20,5,0,6,11,0,0,9,15,0.204,0.275,0.439,0.714,43,6,1,0,1,2,0
"316",23,127,497,452,54,118,27,5,12,50,4,1,37,98,0.261,0.317,0.423,0.74,191,8,2,2,4,1,1
"317",30,87,319,280,30,62,17,1,8,38,3,2,33,54,0.221,0.304,0.375,0.679,105,12,2,0,4,1,0
"318",25,77,313,282,24,77,17,0,7,29,1,3,28,57,0.273,0.345,0.408,0.753,115,9,3,0,0,2,1
"319",25,119,412,358,48,98,23,3,17,57,0,2,43,81,0.274,0.354,0.497,0.852,178,9,5,0,6,3,1
"320",29,41,151,133,7,25,3,0,2,12,2,1,14,25,0.188,0.272,0.256,0.527,34,9,2,0,2,0,0
