"","Age","G","PA","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","BA","OBP","SLG","OPS","TB","GDP","HBP","SH","SF","IBB","Promoted"
"1055",25,59,264,228,55,69,18,4,5,34,10,0,29,42,0.303,0.386,0.483,0.868,110,6,3,2,2,1,1
"1056",27,100,438,390,81,120,33,4,24,98,3,1,37,100,0.308,0.364,0.597,0.961,233,10,2,1,8,3,1
"1057",28,74,250,233,27,59,8,3,4,34,4,1,7,29,0.253,0.274,0.365,0.638,85,7,1,5,4,1,1
"1058",26,34,84,77,10,19,3,0,1,10,0,1,5,16,0.247,0.301,0.325,0.626,25,3,1,1,0,1,0
"1059",23,30,128,125,17,42,11,1,2,12,6,2,1,18,0.336,0.344,0.488,0.832,61,5,1,0,1,0,1
"1060",25,121,493,435,74,107,31,6,8,49,4,0,41,76,0.246,0.316,0.4,0.716,174,14,5,8,4,0,1
"1061",31,106,424,357,73,113,33,4,9,63,2,3,52,44,0.317,0.407,0.507,0.914,181,12,7,1,7,0,1
"1062",28,111,436,381,62,115,18,4,1,40,20,3,42,59,0.302,0.368,0.378,0.746,144,6,1,7,5,4,1
"1063",23,61,280,255,33,80,14,2,1,31,13,6,23,29,0.314,0.368,0.396,0.764,101,4,0,0,2,0,1
"1064",27,108,469,439,73,151,42,6,10,87,0,1,19,47,0.344,0.365,0.535,0.9,235,4,1,0,10,0,1
"1065",26,13,54,51,12,15,4,1,0,8,1,1,2,12,0.294,0.333,0.412,0.745,21,1,1,0,0,0,1
"1066",34,34,123,111,15,34,4,0,3,16,1,1,6,20,0.306,0.336,0.423,0.76,47,6,0,4,2,2,1
"1067",26,17,74,67,10,29,4,0,3,10,1,0,3,5,0.433,0.48,0.627,1.106,42,1,3,1,0,0,1
"1068",27,82,268,238,44,67,15,3,0,25,13,4,22,25,0.282,0.347,0.37,0.717,88,1,3,3,2,1,0
"1069",31,38,123,119,12,37,9,0,2,21,0,0,2,17,0.311,0.32,0.437,0.757,52,5,0,1,1,0,1
"1070",26,133,498,454,61,122,38,0,12,82,1,4,34,112,0.269,0.324,0.432,0.756,196,9,5,1,4,0,1
"1071",24,92,415,379,67,115,27,4,2,37,7,7,29,69,0.303,0.357,0.412,0.768,156,5,3,3,1,0,0
"1072",27,119,438,401,56,104,28,1,10,64,2,0,28,97,0.259,0.313,0.409,0.722,164,10,5,0,4,3,0
"1073",33,72,276,251,39,54,8,0,20,49,6,3,22,91,0.215,0.275,0.486,0.762,122,4,0,0,3,0,0
"1074",23,18,83,77,11,21,6,2,0,12,1,0,3,6,0.273,0.289,0.403,0.692,31,2,0,0,3,0,1
"1075",24,105,463,410,79,122,30,7,14,73,12,3,44,88,0.298,0.369,0.507,0.877,208,9,5,0,4,0,1
"1076",30,21,90,86,12,25,5,0,4,22,0,0,2,11,0.291,0.3,0.488,0.788,42,5,0,0,2,0,0
"1077",24,67,288,264,48,78,17,0,10,42,2,0,19,49,0.296,0.347,0.474,0.821,125,4,3,0,2,2,1
"1078",28,42,181,163,26,49,10,3,0,16,10,6,15,28,0.301,0.354,0.399,0.752,65,5,0,0,3,0,1
"1079",31,91,366,332,58,97,21,7,5,35,5,1,26,76,0.292,0.346,0.443,0.789,147,3,2,5,1,0,0
"1080",28,46,166,158,25,45,10,1,4,31,2,1,5,9,0.285,0.309,0.437,0.746,69,6,1,1,1,0,0
"1081",30,27,90,82,12,18,4,0,4,11,4,0,6,17,0.22,0.278,0.415,0.692,34,3,1,0,1,0,0
"1082",24,25,91,76,9,17,3,0,1,7,4,1,14,13,0.224,0.344,0.303,0.647,23,1,0,1,0,0,0
"1083",28,26,105,92,7,20,4,2,3,13,0,1,9,32,0.217,0.282,0.402,0.684,37,1,0,2,2,0,1
"1084",24,122,517,485,78,150,38,2,16,85,17,7,19,70,0.309,0.334,0.495,0.829,240,10,2,5,6,1,1
"1085",32,96,401,336,59,84,21,6,11,54,6,6,63,113,0.25,0.369,0.446,0.816,150,2,1,0,1,2,1
"1086",25,98,393,347,54,98,19,8,9,46,15,6,34,63,0.282,0.344,0.461,0.805,160,3,2,3,7,0,0
"1087",30,118,453,412,61,108,20,2,12,52,5,4,28,82,0.262,0.316,0.408,0.724,168,12,6,4,3,0,1
"1088",31,80,326,275,44,68,23,1,15,56,1,2,48,73,0.247,0.359,0.502,0.861,138,4,1,0,2,2,0
"1089",26,141,577,528,79,155,35,1,7,74,3,2,36,70,0.294,0.336,0.403,0.74,213,5,3,0,10,1,1
"1090",26,87,388,351,57,100,11,7,4,39,23,10,24,46,0.285,0.336,0.39,0.726,137,2,4,7,2,1,1
"1091",25,21,83,77,6,17,3,0,1,8,4,1,4,17,0.221,0.268,0.299,0.567,23,1,1,1,0,0,1
"1092",20,20,93,77,21,31,4,5,1,13,6,1,11,16,0.403,0.467,0.623,1.091,48,1,1,1,3,0,1
"1093",25,34,123,109,11,25,7,0,2,14,1,1,5,28,0.229,0.261,0.349,0.609,38,3,1,4,4,0,1
"1094",26,35,154,139,13,31,8,0,2,17,1,3,12,31,0.223,0.286,0.324,0.609,45,5,1,0,2,0,1
"1095",23,122,507,463,58,106,23,1,10,60,4,2,37,88,0.229,0.293,0.348,0.64,161,15,5,1,1,0,0
"1096",24,40,168,159,14,39,6,0,2,11,0,2,5,21,0.245,0.265,0.321,0.586,51,4,0,2,2,0,0
"1097",26,70,329,304,39,83,16,3,4,33,26,14,23,61,0.273,0.326,0.385,0.711,117,6,1,1,0,0,0
"1098",21,64,296,267,39,65,15,5,7,29,3,2,24,68,0.243,0.31,0.416,0.725,111,6,2,2,1,0,1
"1099",29,17,72,62,11,16,5,0,2,8,0,1,8,13,0.258,0.333,0.436,0.769,27,1,0,0,2,1,1
"1100",30,125,536,471,64,146,32,2,20,81,3,0,64,97,0.31,0.394,0.514,0.908,242,14,1,0,0,2,1
"1101",23,76,323,296,39,80,18,2,11,30,9,6,24,75,0.27,0.325,0.456,0.781,135,9,1,0,2,1,1
"1102",28,41,160,147,24,41,9,0,3,18,1,0,10,29,0.279,0.325,0.401,0.726,59,7,1,0,2,1,0
"1103",28,24,94,86,10,18,5,0,3,11,0,0,5,14,0.209,0.247,0.372,0.619,32,3,0,1,2,0,1
"1104",25,76,322,281,47,80,13,1,21,54,2,2,29,103,0.285,0.367,0.562,0.929,158,1,9,0,3,3,1
"1105",30,89,347,302,45,84,15,1,15,52,0,0,36,70,0.278,0.362,0.483,0.846,146,4,5,2,2,1,1
"1106",24,83,381,340,50,90,18,2,9,41,19,5,34,85,0.265,0.331,0.409,0.74,139,4,1,3,3,2,1
"1107",32,102,422,361,49,107,18,1,12,51,5,3,50,41,0.296,0.389,0.452,0.841,163,4,6,3,2,1,0
"1108",26,72,250,224,35,58,15,2,2,19,1,1,19,57,0.259,0.331,0.371,0.701,83,3,5,2,0,1,0
"1109",25,20,82,66,10,16,6,1,0,4,1,0,16,16,0.242,0.39,0.364,0.754,24,1,0,0,0,1,1
"1110",22,131,543,496,74,129,31,2,10,62,3,2,23,89,0.26,0.308,0.391,0.699,194,12,13,7,4,0,1
"1111",27,22,95,71,18,17,7,2,2,14,2,1,20,17,0.239,0.415,0.479,0.894,34,0,2,1,1,0,1
"1112",29,71,268,230,43,55,13,0,12,37,2,0,34,62,0.239,0.343,0.452,0.796,104,6,3,0,1,0,0
"1113",26,74,336,259,49,66,14,3,8,35,7,1,66,53,0.255,0.411,0.425,0.835,110,9,6,0,5,1,1
"1114",25,72,324,276,48,77,19,1,12,53,5,1,38,74,0.279,0.367,0.486,0.853,134,11,4,0,6,0,1
"1115",26,61,285,260,33,66,17,1,4,37,8,2,20,50,0.254,0.312,0.373,0.685,97,9,3,0,2,0,1
"1116",26,51,234,209,38,70,12,2,13,45,5,2,23,34,0.335,0.402,0.598,1,125,13,1,0,1,1,1
"1117",24,125,562,524,73,155,28,6,15,75,13,9,33,75,0.296,0.338,0.458,0.796,240,13,2,0,3,1,1
"1118",26,90,383,328,61,80,26,3,18,61,5,4,47,115,0.244,0.35,0.506,0.856,166,14,7,0,1,0,1
"1119",27,35,121,102,16,24,6,0,2,13,1,2,14,28,0.235,0.331,0.353,0.684,36,2,2,0,3,0,1
"1120",28,66,305,254,44,65,16,0,15,52,1,1,44,60,0.256,0.367,0.496,0.863,126,6,3,0,4,2,1
"1121",27,108,474,409,75,103,15,11,6,38,15,7,54,104,0.252,0.345,0.386,0.731,158,2,5,4,2,0,0
"1122",28,51,224,196,32,56,11,1,15,33,4,0,22,40,0.286,0.371,0.582,0.952,114,3,5,0,1,1,1
"1123",23,58,246,218,39,59,14,2,9,38,5,1,21,41,0.271,0.329,0.477,0.806,104,7,1,0,6,0,1
"1124",24,99,375,328,43,84,13,5,7,47,5,1,32,93,0.256,0.327,0.39,0.717,128,10,5,5,5,0,0
"1125",24,39,157,131,36,51,7,1,7,23,4,3,23,31,0.389,0.484,0.618,1.102,81,0,1,2,0,1,1
"1126",40,17,69,63,8,19,3,0,0,14,0,0,5,17,0.302,0.348,0.349,0.697,22,6,0,0,1,0,0
"1127",28,52,229,200,29,53,7,0,9,29,3,1,28,56,0.265,0.358,0.435,0.793,87,7,1,0,0,0,1
"1128",29,76,310,275,46,77,21,1,8,47,4,2,26,57,0.28,0.34,0.451,0.791,124,6,2,1,6,0,1
"1129",26,37,180,157,29,52,5,2,5,22,11,3,23,17,0.331,0.417,0.484,0.901,76,3,0,0,0,0,1
"1130",26,120,543,449,81,129,31,1,12,67,18,3,86,105,0.287,0.405,0.441,0.846,198,8,5,0,3,2,1
"1131",33,49,181,149,24,34,6,0,2,21,4,2,24,13,0.228,0.344,0.309,0.653,46,6,4,1,3,0,0
"1132",27,20,81,76,9,16,5,1,0,9,1,0,5,13,0.211,0.259,0.303,0.562,23,4,0,0,0,0,0
"1133",25,68,304,261,45,82,27,1,10,52,0,1,37,34,0.314,0.395,0.54,0.935,141,13,1,0,5,4,1
"1134",23,67,303,279,45,93,21,2,16,52,1,1,19,59,0.333,0.38,0.595,0.975,166,11,3,0,2,1,1
"1135",27,95,400,312,58,75,11,2,3,31,12,4,62,56,0.24,0.374,0.317,0.691,99,7,7,15,4,0,1
"1136",24,79,334,305,44,100,29,1,13,59,4,0,25,72,0.328,0.38,0.557,0.938,170,4,2,0,2,0,1
"1137",21,102,479,420,87,120,21,10,5,43,34,12,49,101,0.286,0.366,0.419,0.785,176,3,5,4,1,1,1
"1138",28,24,97,83,9,23,8,1,1,8,0,1,9,17,0.277,0.365,0.434,0.798,36,3,3,1,1,0,1
"1139",29,22,92,78,14,27,3,0,0,14,3,0,13,19,0.346,0.435,0.385,0.819,30,1,0,0,1,1,0
"1140",23,102,490,443,78,138,20,6,6,63,8,2,38,86,0.312,0.363,0.424,0.788,188,14,1,3,5,0,1
"1141",31,35,131,119,14,37,6,1,4,16,3,1,12,19,0.311,0.374,0.479,0.853,57,4,0,0,0,1,0
"1142",27,28,121,105,20,33,9,3,3,13,1,0,13,32,0.314,0.392,0.543,0.935,57,5,1,1,1,0,1
"1143",28,32,143,125,24,49,10,0,8,29,1,0,15,26,0.392,0.448,0.664,1.112,83,0,0,0,3,0,1
"1144",31,85,349,278,46,73,13,1,3,31,21,10,58,51,0.263,0.386,0.349,0.735,97,7,1,7,5,0,1
"1145",23,18,79,71,9,24,3,1,2,18,0,0,7,11,0.338,0.392,0.493,0.885,35,0,0,0,1,1,0
"1146",31,93,366,333,49,102,17,0,12,62,3,3,23,39,0.306,0.353,0.466,0.819,155,6,4,1,5,2,0
"1147",27,72,280,262,39,73,18,2,6,39,4,2,15,41,0.279,0.319,0.431,0.75,113,13,1,1,1,0,0
"1148",35,17,63,54,5,18,2,0,0,4,0,1,5,5,0.333,0.4,0.37,0.77,20,1,1,3,0,0,0
"1149",23,100,422,377,62,109,16,1,17,63,7,6,39,86,0.289,0.36,0.472,0.832,178,12,4,0,2,2,1
"1150",24,56,246,209,49,70,16,0,13,56,2,4,34,42,0.335,0.423,0.598,1.021,125,4,0,0,3,2,1
"1151",25,23,86,80,12,15,4,0,2,8,1,0,6,12,0.188,0.244,0.313,0.557,25,5,0,0,0,0,0
"1152",25,54,231,197,31,65,15,3,6,32,1,1,26,42,0.33,0.407,0.528,0.935,104,5,3,0,5,1,1
"1153",36,89,341,309,39,88,25,1,2,34,4,2,21,58,0.285,0.338,0.392,0.73,121,9,5,4,2,0,0
"1154",27,18,74,70,14,28,5,0,2,17,0,1,3,11,0.4,0.432,0.557,0.99,39,1,1,0,0,0,1
"1155",26,106,395,337,59,112,15,2,1,31,3,2,48,41,0.332,0.422,0.398,0.82,134,11,6,2,2,0,0
"1156",27,29,120,106,12,29,7,2,0,3,5,0,11,12,0.274,0.342,0.377,0.719,40,0,1,0,2,2,1
"1157",32,72,338,303,58,104,23,3,7,35,12,5,28,32,0.343,0.41,0.508,0.918,154,5,6,1,0,1,1
"1158",28,56,178,150,20,39,6,2,5,34,7,2,20,30,0.26,0.351,0.427,0.777,64,4,2,4,2,0,0
"1159",23,91,380,351,53,83,14,6,10,53,8,2,20,76,0.237,0.283,0.396,0.679,139,10,4,2,3,0,1
"1160",25,43,178,174,15,43,11,0,3,25,1,2,2,47,0.247,0.264,0.362,0.626,63,6,2,0,0,0,1
"1161",24,108,465,413,60,116,18,3,14,49,0,0,41,54,0.281,0.345,0.441,0.786,182,8,2,4,5,3,1
"1162",25,55,250,222,49,68,13,4,15,40,0,2,24,68,0.306,0.376,0.604,0.98,134,4,2,0,2,1,1
"1163",29,42,115,97,14,27,6,0,2,15,0,0,15,18,0.278,0.381,0.402,0.783,39,5,1,2,0,1,0
"1164",32,127,487,425,63,119,27,6,11,66,3,3,53,99,0.28,0.368,0.449,0.817,191,8,7,0,2,1,0
"1165",25,50,204,175,27,54,9,2,3,21,2,3,25,26,0.309,0.393,0.434,0.827,76,6,0,3,1,1,1
"1166",33,25,99,89,13,24,5,0,6,18,0,0,7,20,0.27,0.343,0.528,0.872,47,4,3,0,0,1,1
"1167",23,129,541,490,65,145,26,3,9,62,7,3,40,84,0.296,0.347,0.416,0.763,204,10,1,5,5,2,1
"1168",24,105,476,449,46,122,20,10,5,68,1,0,15,82,0.272,0.297,0.394,0.691,177,20,3,4,5,1,1
"1169",27,60,268,246,35,70,18,1,11,45,0,0,13,36,0.285,0.336,0.5,0.836,123,9,7,0,2,1,1
"1170",28,72,274,229,27,57,14,1,3,17,13,3,29,46,0.249,0.353,0.358,0.712,82,6,8,8,0,0,0
"1171",32,60,229,201,27,45,11,1,1,20,0,1,17,43,0.224,0.297,0.304,0.6,61,4,5,3,3,1,1
"1172",26,86,314,295,34,73,15,1,11,40,0,0,13,62,0.248,0.281,0.417,0.698,123,12,2,1,3,2,1
"1173",24,80,303,258,28,71,11,1,5,33,5,1,43,72,0.275,0.38,0.384,0.763,99,9,1,0,1,0,1
"1174",25,34,159,144,27,48,9,1,0,15,15,0,12,28,0.333,0.389,0.41,0.798,59,0,1,2,0,1,1
"1175",26,112,416,372,46,98,15,6,8,56,10,6,42,69,0.263,0.337,0.401,0.737,149,8,0,0,2,0,0
"1176",25,121,510,445,75,129,26,2,22,77,0,0,57,113,0.29,0.367,0.506,0.872,225,11,1,0,7,2,1
"1177",28,123,423,407,51,114,28,3,7,51,6,2,12,61,0.28,0.3,0.415,0.715,169,11,0,3,1,0,0
"1178",25,31,137,116,22,31,6,0,7,21,1,1,16,25,0.267,0.365,0.5,0.865,58,1,3,0,2,0,1
"1179",29,39,140,129,14,20,7,1,2,12,4,0,10,34,0.155,0.214,0.271,0.486,35,3,0,0,1,0,0
"1180",25,32,121,107,12,23,7,0,4,13,0,0,11,27,0.215,0.298,0.393,0.69,42,2,2,0,1,0,1
"1181",25,16,74,58,12,15,2,3,1,9,3,0,13,18,0.259,0.419,0.448,0.867,26,1,3,0,0,1,1
"1182",24,41,131,123,12,21,6,0,0,11,0,0,6,22,0.171,0.209,0.22,0.429,27,6,0,2,0,0,1
"1183",23,56,235,194,40,65,18,0,6,35,0,0,37,35,0.335,0.443,0.521,0.963,101,7,2,0,2,4,1
"1184",23,92,408,369,62,121,24,0,24,83,4,3,34,68,0.328,0.38,0.588,0.968,217,10,0,0,5,0,1
"1185",28,44,170,151,21,38,7,0,3,22,1,0,15,43,0.252,0.318,0.358,0.675,54,5,1,0,3,0,1
"1186",31,45,154,145,18,53,7,2,3,16,2,3,7,8,0.366,0.392,0.503,0.896,73,7,0,1,1,0,0
"1187",26,65,265,235,43,77,23,3,1,32,6,2,25,49,0.328,0.4,0.464,0.864,109,3,4,0,1,1,1
"1188",26,129,553,490,70,148,28,4,2,38,18,8,48,58,0.302,0.371,0.388,0.758,190,13,6,8,1,0,1
"1189",23,49,138,120,17,30,2,0,0,11,1,1,15,19,0.25,0.348,0.267,0.615,32,3,3,0,0,0,0
"1190",25,89,347,321,38,78,20,2,9,26,9,8,18,92,0.243,0.285,0.402,0.686,129,3,1,6,1,0,1
"1191",24,72,270,245,33,59,12,0,5,26,0,1,20,57,0.241,0.305,0.351,0.656,86,10,3,1,1,0,0
"1192",26,46,121,115,8,21,4,1,0,5,0,0,1,19,0.183,0.195,0.235,0.43,27,2,1,3,1,0,0
"1193",25,46,176,163,22,42,10,1,0,17,0,2,6,30,0.258,0.289,0.331,0.62,54,11,2,3,2,0,0
"1194",20,60,256,225,32,64,11,0,9,32,2,2,28,44,0.284,0.369,0.453,0.822,102,8,2,1,0,1,1
"1195",23,80,374,320,57,88,26,3,10,35,7,7,41,75,0.275,0.374,0.469,0.843,150,3,10,2,1,2,1
"1196",24,82,349,326,36,86,16,1,17,56,1,0,20,86,0.264,0.312,0.476,0.788,155,11,3,0,0,1,1
"1197",26,84,323,282,32,74,19,0,14,45,1,1,34,59,0.262,0.35,0.479,0.829,135,3,5,0,2,1,1
"1198",28,103,399,332,45,84,11,2,2,31,10,3,47,67,0.253,0.358,0.316,0.675,105,6,8,11,1,0,1
"1199",28,82,335,283,47,74,21,0,12,57,1,0,45,87,0.262,0.361,0.463,0.824,131,5,2,0,5,1,0
"1200",25,55,225,187,26,60,14,0,4,28,0,1,36,50,0.321,0.431,0.46,0.891,86,7,1,0,1,2,1
"1201",25,121,480,428,62,110,13,2,11,54,37,7,36,131,0.257,0.313,0.374,0.687,160,4,1,10,5,3,1
"1202",28,102,409,357,43,75,17,2,2,36,9,5,40,57,0.21,0.294,0.286,0.58,102,9,4,4,4,1,0
"1203",25,83,329,291,35,75,6,0,3,24,8,3,30,54,0.258,0.327,0.309,0.637,90,3,2,2,4,1,1
"1204",23,33,133,119,17,24,2,0,4,15,5,3,9,18,0.202,0.262,0.319,0.581,38,6,1,3,1,0,1
"1205",25,50,214,180,23,45,9,0,3,24,0,0,25,25,0.25,0.346,0.35,0.696,63,13,4,0,5,1,1
"1206",31,31,137,113,32,35,7,0,3,22,3,1,24,26,0.31,0.431,0.451,0.882,51,0,0,0,0,0,1
"1207",21,18,62,54,3,13,0,1,0,5,2,1,5,12,0.241,0.312,0.278,0.589,15,0,1,1,1,0,0
"1208",24,45,196,179,25,48,5,0,10,35,1,0,16,38,0.268,0.327,0.464,0.79,83,5,0,0,1,0,1
"1209",26,30,102,90,13,21,3,0,2,6,0,0,7,22,0.233,0.303,0.333,0.636,30,3,2,3,0,0,1
"1210",26,68,277,249,37,65,16,1,10,37,3,1,20,69,0.261,0.332,0.454,0.786,113,7,7,0,1,2,1
"1211",30,104,434,359,55,88,22,1,2,48,4,2,58,78,0.245,0.348,0.329,0.676,118,5,1,11,5,0,1
"1212",26,16,63,60,7,17,4,2,0,3,2,0,3,17,0.283,0.318,0.417,0.734,25,0,0,0,0,0,0
"1213",22,38,155,128,25,40,6,0,10,30,2,1,22,37,0.313,0.426,0.594,1.02,76,1,4,0,1,0,1
"1214",25,42,164,151,20,29,7,2,1,9,4,2,10,50,0.192,0.256,0.285,0.541,43,5,3,0,0,0,0
"1215",24,58,222,198,34,59,7,1,0,21,5,2,16,29,0.298,0.355,0.343,0.698,68,3,2,5,1,0,1
"1216",33,92,353,302,47,89,15,5,3,41,4,2,31,74,0.295,0.37,0.407,0.778,123,8,7,10,3,1,1
"1217",26,19,76,66,10,20,4,0,2,3,1,0,9,14,0.303,0.395,0.455,0.849,30,4,1,0,0,1,0
"1218",30,21,89,76,8,14,2,1,2,8,0,0,11,25,0.184,0.292,0.316,0.608,24,1,1,0,1,1,0
"1219",29,27,94,87,8,19,2,0,2,10,0,0,2,15,0.218,0.247,0.31,0.558,27,1,2,1,2,0,1
"1220",29,123,495,446,45,98,25,1,16,70,1,1,45,106,0.22,0.291,0.388,0.679,173,11,1,0,3,0,1
"1221",29,89,391,338,58,119,25,0,24,76,2,1,43,89,0.352,0.427,0.639,1.066,216,11,5,0,5,3,1
"1222",29,89,279,237,35,51,10,2,6,23,6,0,32,40,0.215,0.312,0.35,0.662,83,6,3,3,4,0,0
"1223",24,43,188,166,22,51,16,2,4,27,6,2,17,37,0.307,0.38,0.5,0.88,83,0,3,1,1,0,1
"1224",27,117,449,404,44,100,13,2,3,31,23,5,31,53,0.248,0.301,0.312,0.613,126,10,2,7,5,1,1
"1225",27,65,243,200,32,43,11,2,5,31,8,0,35,47,0.215,0.339,0.365,0.704,73,4,4,1,3,0,1
"1226",26,20,71,64,5,11,2,0,2,9,0,0,4,13,0.172,0.239,0.297,0.536,19,0,2,0,1,0,0
"1227",25,69,275,247,31,56,9,3,2,22,3,2,24,61,0.227,0.297,0.312,0.608,77,1,1,2,1,1,1
"1228",23,22,82,72,7,16,4,2,0,5,1,0,10,21,0.222,0.317,0.333,0.65,24,2,0,0,0,1,1
"1229",28,43,142,133,19,38,3,2,2,11,7,4,9,42,0.286,0.331,0.384,0.715,51,0,0,0,0,0,0
"1230",32,105,361,312,42,73,12,1,2,38,10,2,36,47,0.234,0.316,0.298,0.615,93,8,3,7,3,1,1
"1231",25,45,198,173,23,40,13,1,3,22,1,0,22,32,0.231,0.318,0.37,0.688,64,2,1,0,2,2,1
"1232",24,19,75,70,6,22,9,0,1,6,0,0,2,12,0.314,0.333,0.486,0.819,34,6,1,0,2,0,1
"1233",29,82,369,302,57,80,14,7,0,29,25,2,52,70,0.265,0.381,0.358,0.738,108,2,5,9,1,0,1
"1234",24,26,103,86,16,27,2,1,2,12,0,1,14,20,0.314,0.402,0.43,0.832,37,1,0,1,2,0,0
"1235",26,86,358,304,40,81,15,1,10,50,4,0,47,75,0.266,0.369,0.421,0.79,128,6,4,0,3,2,0
"1236",29,36,143,125,17,37,8,0,9,25,6,4,18,35,0.296,0.385,0.576,0.961,72,2,0,0,0,0,1
"1237",26,18,70,61,8,15,1,0,5,10,0,0,7,13,0.246,0.329,0.508,0.837,31,0,1,0,1,0,1
"1238",25,111,418,377,42,97,22,1,6,46,3,5,29,85,0.257,0.311,0.369,0.679,139,9,1,9,2,0,1
"1239",28,110,453,405,58,101,21,1,29,73,2,2,43,131,0.249,0.322,0.521,0.843,211,8,2,0,3,3,1
"1240",22,106,443,393,64,94,17,6,3,27,22,13,38,121,0.239,0.316,0.336,0.652,132,7,7,3,2,0,1
"1241",31,99,402,354,57,101,16,2,18,73,3,1,39,65,0.285,0.351,0.494,0.845,175,14,1,0,8,3,1
"1242",32,25,81,60,9,15,0,0,0,3,3,0,14,12,0.25,0.4,0.25,0.65,15,2,1,6,0,0,1
"1243",33,64,248,208,27,46,7,2,9,26,1,2,38,69,0.221,0.344,0.404,0.748,84,2,1,1,0,2,1
"1244",29,104,413,365,45,99,21,1,12,51,4,4,37,55,0.271,0.339,0.433,0.772,158,13,4,0,7,1,1
"1245",32,109,430,355,50,87,15,1,4,22,29,7,59,68,0.245,0.357,0.327,0.684,116,4,3,13,0,0,1
"1246",32,38,144,134,16,35,11,0,2,14,1,0,8,22,0.261,0.301,0.388,0.689,52,5,0,1,1,0,0
"1247",28,108,437,382,60,109,27,1,3,44,5,4,44,63,0.285,0.361,0.385,0.745,147,9,2,7,2,3,0
"1248",30,58,200,175,16,29,12,0,1,11,0,0,17,40,0.166,0.255,0.251,0.507,44,8,4,4,0,0,1
"1249",25,50,171,150,9,33,5,0,3,17,0,2,17,35,0.22,0.294,0.313,0.607,47,4,0,1,3,0,0
"1250",24,52,218,201,30,60,19,4,4,27,8,5,12,39,0.299,0.341,0.493,0.834,99,4,2,1,2,0,1
"1251",28,35,130,108,13,23,9,0,2,12,0,0,19,33,0.213,0.323,0.352,0.675,38,1,0,0,3,0,1
"1252",24,100,412,379,57,99,18,5,11,51,12,4,16,106,0.261,0.309,0.422,0.731,160,8,12,1,4,0,1
"1253",26,41,167,149,18,48,5,1,7,31,0,1,14,25,0.322,0.383,0.51,0.893,76,6,2,0,2,1,1
"1254",31,69,259,222,31,60,10,3,7,24,21,5,35,38,0.27,0.372,0.437,0.809,97,6,1,1,0,0,0
"1255",23,104,446,404,52,119,24,4,15,68,11,3,35,95,0.295,0.352,0.485,0.837,196,7,3,0,4,1,1
"1256",24,117,458,438,48,112,23,1,8,55,20,7,15,77,0.256,0.28,0.368,0.647,161,6,0,4,1,1,0
"1257",30,109,411,377,43,109,26,3,4,45,10,3,28,110,0.289,0.337,0.406,0.743,153,13,1,2,3,2,1
"1258",23,62,266,241,26,59,14,2,3,25,3,1,11,51,0.245,0.274,0.357,0.631,86,7,1,7,6,0,1
"1259",24,63,237,214,31,47,7,2,3,8,13,2,19,55,0.22,0.286,0.313,0.599,67,5,1,3,0,0,0
"1260",27,19,66,60,6,17,5,0,0,5,0,1,3,8,0.283,0.328,0.367,0.695,22,4,1,2,0,0,0
"1261",25,31,111,95,12,30,8,0,4,14,3,1,9,30,0.316,0.376,0.526,0.902,50,2,2,2,3,0,0
"1262",23,104,440,391,59,121,12,9,2,34,32,8,41,81,0.31,0.375,0.402,0.776,157,4,1,5,2,0,1
"1263",21,21,72,67,6,14,1,0,3,14,0,1,4,15,0.209,0.264,0.358,0.622,24,2,1,0,0,0,1
"1264",28,61,219,180,20,39,8,0,3,21,1,0,35,50,0.217,0.353,0.311,0.664,56,7,3,1,0,1,1
"1265",30,71,266,243,35,73,11,3,3,28,6,5,18,37,0.3,0.352,0.407,0.76,99,8,2,2,1,1,1
"1266",26,33,122,109,15,27,7,0,4,15,5,1,11,36,0.248,0.312,0.422,0.734,46,2,0,0,2,0,0
"1267",28,63,241,207,43,53,13,5,5,18,13,4,28,63,0.256,0.348,0.44,0.787,91,0,1,5,0,1,0
"1268",34,95,352,325,40,84,17,6,4,31,9,7,17,61,0.259,0.3,0.385,0.684,125,3,3,5,2,1,1
"1269",27,122,482,440,52,112,29,0,19,65,2,2,28,140,0.255,0.307,0.45,0.757,198,12,8,0,6,1,0
"1270",26,83,350,305,44,81,22,0,7,46,1,2,36,88,0.266,0.343,0.407,0.75,124,6,3,0,6,1,1
"1271",24,53,194,182,18,49,10,0,6,24,1,1,10,55,0.269,0.309,0.423,0.732,77,5,1,0,1,0,1
"1272",27,101,359,310,43,97,20,1,2,36,11,7,37,52,0.313,0.39,0.403,0.793,125,2,6,0,6,0,1
"1273",26,59,255,220,28,59,11,2,5,21,0,0,29,43,0.268,0.366,0.405,0.771,89,5,5,1,0,0,1
"1274",24,68,293,259,30,77,12,1,6,36,4,1,30,47,0.297,0.369,0.421,0.789,109,12,1,0,3,0,1
"1275",26,37,152,122,16,25,4,0,5,17,0,0,25,27,0.205,0.329,0.361,0.69,44,4,0,0,5,1,1
"1276",28,50,216,199,17,51,9,1,3,10,4,4,11,21,0.256,0.312,0.357,0.668,71,8,5,1,0,0,1
"1277",30,55,211,191,10,35,4,0,1,12,0,2,14,33,0.183,0.24,0.22,0.46,42,6,1,3,2,0,1
"1278",23,23,89,80,10,19,1,2,2,9,3,0,6,29,0.238,0.287,0.375,0.662,30,1,0,2,1,0,0
